Map name	Object id	Item number	Item name	X	Y	Z
7out01.odm	0	1448	Horseshoe	12309	1769	1
7out01.odm	1	857	Hammer	15504	15440	97
7out01.odm	2	1001	Gold	14880	15024	149
7out01.odm	3	1604	Warrior Sword	16432	8080	88
7out01.odm	4	1012	Poppysnaps	-2016	14800	10
7out01.odm	5	845	Longbow	4096	18928	1
7out01.odm	6	1012	Poppysnaps	8144	19008	1
7out01.odm	7	1007	Phirna Root	9152	20000	1
7out01.odm	8	872	Royal Leather	12336	19984	1
7out01.odm	9	1448	Horseshoe	12525	1769	1
7out01.odm	10	57	Recurve Bow	16406	15987	92
7out01.odm	11	253	Divine Cure	16116	9215	97
7out01.odm	12	1448	Horseshoe	12495	1738	1
7out02.odm	0	1001	Gold	5984	-7744	21
7out02.odm	1	847	Composite Bow	9696	-7264	1
7out02.odm	2	936	Sun Amulet	12128	-6368	1
7out02.odm	3	1007	Phirna Root	11328	-12448	1
7out02.odm	4	1007	Phirna Root	19488	-7808	417
7out02.odm	5	1007	Phirna Root	14848	-12992	1
7out02.odm	6	1007	Phirna Root	5760	-21088	1
7out02.odm	7	1007	Phirna Root	3840	-24960	1
7out02.odm	8	1007	Phirna Root	20512	-10272	431
7out02.odm	9	1007	Phirna Root	13856	-8768	417
7out02.odm	10	1012	Poppysnaps	-9888	-20832	2205
7out02.odm	11	1012	Poppysnaps	-12576	-21696	2783
7out02.odm	12	1012	Poppysnaps	-13664	-20064	3143
7out02.odm	13	1012	Poppysnaps	-18592	-21024	2737
7out02.odm	14	1012	Poppysnaps	-13696	-17472	2909
7out02.odm	15	1012	Poppysnaps	-11424	-15424	1917
7out02.odm	16	1012	Poppysnaps	-14624	-14880	2143
7out02.odm	17	1012	Poppysnaps	-11488	-12768	1237
7out02.odm	18	1012	Poppysnaps	-12160	-13760	1537
7out02.odm	19	1012	Poppysnaps	-15360	-11552	1143
7out02.odm	20	1012	Poppysnaps	-18880	-12384	1965
7out02.odm	21	1012	Poppysnaps	-21920	-17760	3203
7out02.odm	22	1012	Poppysnaps	-21952	-13888	3325
7out02.odm	23	1012	Poppysnaps	-18400	-1024	1179
7out02.odm	24	1012	Poppysnaps	-14624	-1536	911
7out02.odm	25	1012	Poppysnaps	-19776	5248	2641
7out02.odm	26	1012	Poppysnaps	-21696	8256	2421
7out02.odm	27	1012	Poppysnaps	-23392	7456	2735
7out02.odm	28	1012	Poppysnaps	-20384	18112	2363
7out02.odm	29	1012	Poppysnaps	-15584	20704	2367
7out02.odm	30	1012	Poppysnaps	-5408	21888	2175
7out02.odm	31	1012	Poppysnaps	10144	18112	1449
7out02.odm	32	1012	Poppysnaps	17504	17536	1805
7out02.odm	33	1012	Poppysnaps	4032	-19936	641
7out02.odm	34	1012	Poppysnaps	-6080	-15520	863
7out02.odm	35	1017	Mushroom	-20800	-20960	2255
7out02.odm	36	1017	Mushroom	-21024	-15584	3303
7out02.odm	37	1017	Mushroom	-15520	-13856	1845
7out02.odm	38	1017	Mushroom	-10880	-17536	2289
7out02.odm	39	1017	Mushroom	-7680	-21568	1533
7out02.odm	40	1017	Mushroom	-13792	-11712	1137
7out02.odm	41	1017	Mushroom	-5536	-16256	813
7out02.odm	42	1017	Mushroom	-4704	-16064	685
7out02.odm	43	1017	Mushroom	-4800	-7840	651
7out02.odm	44	1017	Mushroom	-19936	-2016	1249
7out02.odm	45	1017	Mushroom	-16448	-1280	913
7out02.odm	46	1017	Mushroom	-12160	-2816	873
7out02.odm	47	1017	Mushroom	-20320	6688	2447
7out02.odm	48	1017	Mushroom	-13408	2848	2515
7out02.odm	49	1017	Mushroom	-9952	4992	2007
7out02.odm	50	1017	Mushroom	-22848	12096	2405
7out02.odm	51	1017	Mushroom	-23072	20832	2683
7out02.odm	52	1017	Mushroom	-19392	20128	2265
7out02.odm	53	1017	Mushroom	-16384	20800	2093
7out02.odm	54	1017	Mushroom	-4800	20768	2079
7out02.odm	55	1017	Mushroom	-3296	21984	2425
7out02.odm	56	1017	Mushroom	18112	16768	1709
7out02.odm	57	1017	Mushroom	18432	20000	1427
7out02.odm	58	999	Gold	22048	10080	641
7out02.odm	59	1017	Mushroom	22080	6048	641
7out02.odm	60	1017	Mushroom	21024	5664	641
7out02.odm	61	1018	Obsidian	15936	-12480	1
7out02.odm	62	1018	Obsidian	16576	-6848	417
7out02.odm	63	1018	Obsidian	7136	-22656	1
7out02.odm	64	1018	Obsidian	-22368	2304	2223
7out02.odm	65	1018	Obsidian	7008	16224	1
7out02.odm	66	1448	Horseshoe	4224	4992	1
7out02.odm	67	1448	Horseshoe	16320	-1312	65
7out02.odm	68	1018	Obsidian	3808	-5184	65
7out02.odm	69	1448	Horseshoe	-5432	11624	1
7out02.odm	70	1448	Horseshoe	-5792	11584	1
7out02.odm	71	1448	Horseshoe	-5688	11040	1
7out02.odm	72	1531	Saints of Selinas Scroll 1	0	0	1
7out02.odm	73	1448	Horseshoe	-6053	11606	1
7out02.odm	74	187	Gold	-992	19488	2695
7out02.odm	75	188	Gold	18272	-16544	1893
7out02.odm	76	36	Two-Handed Axe	1312	19840	2635
7out02.odm	77	188	Gold	16896	-17376	2143
7out02.odm	78	188	Gold	-96	19712	2737
7out03.odm	0	1448	Horseshoe	-17392	4480	833
7out03.odm	1	1448	Horseshoe	-17968	4392	833
7out03.odm	2	1448	Horseshoe	-16888	3520	836
7out03.odm	3	1489	Siertal-laced ore	-18976	-17920	1
7out03.odm	4	1489	Siertal-laced ore	-16240	-18576	1
7out03.odm	5	1489	Siertal-laced ore	-18512	-13968	1
7out03.odm	6	1489	Siertal-laced ore	-13696	-14208	1
7out03.odm	7	1489	Siertal-laced ore	-10816	-17616	1
7out03.odm	8	1489	Siertal-laced ore	-13936	-12096	1249
7out03.odm	9	1489	Siertal-laced ore	-5040	-17184	1
7out03.odm	10	1489	Siertal-laced ore	-6320	-11488	1
7out03.odm	11	1489	Siertal-laced ore	-13360	-8272	1
7out03.odm	12	812	Steel Broadsword	2928	-20016	908
7out03.odm	13	850	Heavy Crossbow	5760	-14912	933
7out03.odm	14	808	Barrow Leafblade	22128	17136	3455
