Map name	Object id	Item number	Item name	X	Y	Z
out01.odm	0	646	Horseshoe	12495	1738	1
out01.odm	1	646	Horseshoe	12309	1769	1
out01.odm	2	0		10938	-138	0
out01.odm	3	253	Divine Cure	16116	9215	97
out01.odm	4	646	Horseshoe	12525	1769	1
out01.odm	5	46	Devilbone Bow	16406	15987	92
out01.odm	6	54	Supreme Flail	15504	15440	97
out01.odm	7	199	Gold	14880	15024	149
out01.odm	8	5	Duelist Blade	16432	8080	88
out01.odm	9	200	Widowsweep Berries	-2016	14800	10
out01.odm	10	43	Recurve Bow	4096	18928	1
out01.odm	11	200	Widowsweep Berries	8144	19008	1
out01.odm	12	205	Phirna Root	9152	20000	1
out01.odm	13	70	Royal Leather	12336	19984	1
out01.odm	14	0		11052	-109	0
out02.odm	0	729	Saints of Selinas Scroll 1	0	0	1
out02.odm	1	199	Gold	5984	-7744	21
out02.odm	2	45	Composite Bow	9696	-7264	1
out02.odm	3	134	Sun Amulet	12128	-6368	1
out02.odm	4	199	Gold	-38	20105	2785
out02.odm	5	205	Phirna Root	19488	-7808	417
out02.odm	6	205	Phirna Root	14848	-12992	1
out02.odm	7	205	Phirna Root	5760	-21088	1
out02.odm	8	205	Phirna Root	3840	-24960	1
out02.odm	9	205	Phirna Root	20512	-10272	431
out02.odm	10	205	Phirna Root	13856	-8768	417
out02.odm	11	210	Poppysnaps	-9888	-20832	2205
out02.odm	12	210	Poppysnaps	-12576	-21696	2783
out02.odm	13	210	Poppysnaps	-13664	-20064	3143
out02.odm	14	210	Poppysnaps	-18592	-21024	2737
out02.odm	15	210	Poppysnaps	-13696	-17472	2909
out02.odm	16	210	Poppysnaps	-11424	-15424	1917
out02.odm	17	210	Poppysnaps	-14624	-14880	2143
out02.odm	18	210	Poppysnaps	-11488	-12768	1237
out02.odm	19	210	Poppysnaps	-12160	-13760	1537
out02.odm	20	210	Poppysnaps	-15360	-11552	1143
out02.odm	21	210	Poppysnaps	-18880	-12384	1965
out02.odm	22	210	Poppysnaps	-21920	-17760	3203
out02.odm	23	210	Poppysnaps	-21952	-13888	3325
out02.odm	24	210	Poppysnaps	-18400	-1024	1179
out02.odm	25	210	Poppysnaps	-14624	-1536	911
out02.odm	26	210	Poppysnaps	-19776	5248	2641
out02.odm	27	210	Poppysnaps	-21696	8256	2421
out02.odm	28	210	Poppysnaps	-23392	7456	2735
out02.odm	29	210	Poppysnaps	-20384	18112	2363
out02.odm	30	210	Poppysnaps	-15584	20704	2367
out02.odm	31	210	Poppysnaps	-5408	21888	2175
out02.odm	32	210	Poppysnaps	10144	18112	1449
out02.odm	33	210	Poppysnaps	17504	17536	1805
out02.odm	34	210	Poppysnaps	4032	-19936	641
out02.odm	35	210	Poppysnaps	-6080	-15520	863
out02.odm	36	215	Mushroom	-20800	-20960	2255
out02.odm	37	215	Mushroom	-21024	-15584	3303
out02.odm	38	215	Mushroom	-15520	-13856	1845
out02.odm	39	215	Mushroom	-10880	-17536	2289
out02.odm	40	215	Mushroom	-7680	-21568	1533
out02.odm	41	215	Mushroom	-13792	-11712	1137
out02.odm	42	215	Mushroom	-5536	-16256	813
out02.odm	43	215	Mushroom	-4704	-16064	685
out02.odm	44	215	Mushroom	-4800	-7840	651
out02.odm	45	215	Mushroom	-19936	-2016	1249
out02.odm	46	215	Mushroom	-16448	-1280	913
out02.odm	47	215	Mushroom	-12160	-2816	873
out02.odm	48	215	Mushroom	-20320	6688	2447
out02.odm	49	215	Mushroom	-13408	2848	2515
out02.odm	50	215	Mushroom	-9952	4992	2007
out02.odm	51	215	Mushroom	-22848	12096	2405
out02.odm	52	215	Mushroom	-23072	20832	2683
out02.odm	53	215	Mushroom	-19392	20128	2265
out02.odm	54	215	Mushroom	-16384	20800	2093
out02.odm	55	215	Mushroom	-4800	20768	2079
out02.odm	56	215	Mushroom	-3296	21984	2425
out02.odm	57	215	Mushroom	18112	16768	1709
out02.odm	58	215	Mushroom	18432	20000	1427
out02.odm	59	197	Gold	22048	10080	641
out02.odm	60	215	Mushroom	22080	6048	641
out02.odm	61	215	Mushroom	21024	5664	641
out02.odm	62	216	Obsidian	15936	-12480	1
out02.odm	63	216	Obsidian	16576	-6848	417
out02.odm	64	216	Obsidian	7136	-22656	1
out02.odm	65	216	Obsidian	-22368	2304	2223
out02.odm	66	216	Obsidian	7008	16224	1
out02.odm	67	646	Horseshoe	4224	4992	1
out02.odm	68	646	Horseshoe	16320	-1312	65
out02.odm	69	646	Horseshoe	3808	-5184	65
out02.odm	70	646	Horseshoe	-5432	11624	1
