NPC Data (Special)			Group			Current	Profession	Greet	Join	Event	Event	Event	Event	Event	Event			
#	Name	Pic	A	B	C	2D Location	 1 - 76	#	Y / N	# A	# B	# C	# D	# E	# F	Notes		
340	Lord Markham	0532	0	0	0	1163	0	116	0	751	752	753	784	937	0			
341	Thomas the Judge	0534	0	0	0	1163	0	117	0	755	756	0	0	0	0			
342	Big Daddy Jim	1556	0	0	0	0	0	118	0	757	792	0	0	0	0			
343	Ailyssa the Bard	0852	0	0	0	0	0	119	0	760	761	762	0	0	0			
344	Sally	0865	0	0	0	0	0	120	0	764	765	0	0	0	0	Sells seashells by the seashore		
345	Wren Wilder	0742	0	0	0	0	0	121	0	0	0	0	0	0	0	Courier Quest 4		
346	Thomas Grey	0902	0	0	0	0	0	123	0	0	0	0	0	0	0	Ambusher leader in Emerald Isle		
347	Halfgild Wynac	1493	0	0	0	0	0	123	0	0	0	0	0	0	0	Removed events 27,28, and 29		
348	Carolyn Weathers	0857	0	0	0	1183	0	126	0	0	1152	1154	0	0	0	Elemental Guild Membership		
349	Roger Tellmar	0956	0	0	0	1184	0	127	0	0	1156	1158	0	0	0	Self Guild Membership		
350	William Darvees	0889	0	0	0	1168	0	128	0	782	0	0	0	0	0	Boatman to take party to area 2		
351	Donna Wyrith	0796	0	0	0	1167	0	129	0	786	787	0	0	0	0	Sally's mom in dragon house		
352	Grant Valandir	0934	0	0	0	0	0	115	0	0	0	0	0	0	0	0	Expert Bow (4)	4
353	Mia Lucille	0799	0	0	0	1170	0	131	0	788	789	0	0	0	0	Favor for Mark near entrance to town		
354	William Lasker	1530	0	0	0	1162	0	152	0	794	1037	1052	958	0	0	Good Thief promoter	23	
355	BDJ the Coding Wizard	1556	0	0	0	0	0	155	0	0	0	0	0	0	0	Evil Thief promoter	5	
356	Sally	0865	0	0	0	0	0	310	0	0	0	0	0	0	0	Good Paladin promoter	3	
357	Lord Godwinson	0889	0	0	0	0	0	115	0	0	0	0	0	0	0	Evil Paladin promoter	5	
358	Resurectra	1559	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 1		
359	Baron BunGleau	0739	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 2		
360	Zedd True Shot	0689	0	0	0	1171	0	130	0	965	1195	0	0	0	0	Docent for the tour 3		
361	Alex the Mentor	0853	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 4		
362	Alex the Mentor	0853	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 5		
363	Alex the Mentor	0853	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 6		
364	Operator	0853	0	0	0	0	0	139	0	0	0	0	0	0	0	Docent for the tour 7		
365	Count ZERO	0547	0	0	0	0	0	140	0	1248	0	0	0	0	0	Docent for the tour 8		
366	Messenger	0487	0	0	0	0	0	142	0	0	0	0	0	0	0	Docent for the tour 9		
367	Alex the Mentor	0853	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 10		
368	Alex the Mentor	0853	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 11		
369	Doom Bearer	0737	0	0	0	0	0	144	0	0	0	0	0	0	0	Docent for the tour 12		
370	Alex the Mentor	0853	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 13		
371	Myrta Bumblebee	0853	0	0	0	0	0	146	0	0	0	0	0	0	0	Docent for the tour 14		
372	Alex the Mentor	0853	0	0	0	0	0	115	0	0	0	0	0	0	0	Docent for the tour 15		
373	Duke Bimbasto	0930	0	0	0	0	0	148	0	0	0	0	0	0	0	Docent for the tour 16		
